,Job Role,Company,Exp,CTC,Location
0,Analyst- Data Science,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
1,Senior Analyst-Data Science,Accenture,2-6 Yrs,Not disclosed,Bangalore/Bengaluru
2,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
3,Technology Analyst: Data Science | Machine Learning,Infosys,3-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Senior  Data Scientist - Analytics Organization- Data Science,PlaceMinds Consulting Pvt. Ltd,6-11 Yrs,Not disclosed,"Mumbai, Pune, Bangalore/Bengaluru"
5,Data Science/Data Analyst,Findoc Finvest Private Limited,4-7 Yrs,Not disclosed,Gurgaon/Gurugram
6,Data science +  Python - NP Max 45 days,ERM Placement Services (P) Ltd. ,3-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
7,Technology Lead - Data Science / Machine Learning,Infosys,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
8,Data Science Consultant,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
9,Advisor Digital Analytics and Data Science,Dell,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
10,Lead Business Analyst - Data Science | Talent500,TALENT500 TECH (INDIA) PRIVATE LIMITED,6-11 Yrs,Not disclosed,Remote
11,Opening with Data Science,Pricewater House Coopers Service Delivery Center    Bangalore Private Limited,2-5 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"
12,Team Lead/Consultant-Data Science,Accenture,7-11 Yrs,Not disclosed,Bangalore/Bengaluru
13,Data Science Application Developer,Accenture,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
14,Data Science Engineer,Texas Instruments,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
15,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Mumbai
16,Senior Analyst - Data Science,Tiger Analytics India LLP    ,1-6 Yrs,Not disclosed,Chennai(WFH during Covid)
17,Senior Analyst-Data Science,Accenture,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
18,Python Trainer & Data Science Trainer,CQS TRAINING PRIVATE LIMITED ,0-4 Yrs,"2,50,000 - 3,00,000 PA.",New Delhi(B1 Block Janakpuri)
19,Looking For Part Time Data Science Trainer (WFH) with LetsUpgrade,ITM Edutech (India) Limited,0-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Navi Mumbai, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"
0,Senior Director -  Data Science,Course5,10-15 Yrs,"25,00,000 - 40,00,000 PA.","Gurgaon/Gurugram, Bangalore/Bengaluru"
1,Expert Data Science,Novartis Healthcare,2-5 Yrs,Not disclosed,Hyderabad/Secunderabad
2,Urgent Opening-Principal Consultant- Data Science,Wipro,10-13 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
3,"Advisor, Data Science",Dell,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
4,Lead Consultant - Big Data Analyst,Genpact,4-9 Yrs,"50,000 - 1,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
5,Data Science,Capgemini,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Data Science,Capgemini,4-6 Yrs,Not disclosed,Bangalore/Bengaluru
7,Manager - Machine Learning Engineer ( Data Science ) ( Females only ),Pylon Management Consulting Pvt Ltd ,7-9 Yrs,Not disclosed,Remote
8,Analyst: Data Science Insights,TIGER ANALYTICS INDIA CONSULTING PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai
9,Job Support - Data Science/Data Analyst,LAVSUN Technologies Inc.,5-10 Yrs,"50,000 - 60,000 PA.",Remote
10,India Market Unit - Data Science Analyst - (Career Level 11),Accenture,2-4 Yrs,Not disclosed,Bangalore/Bengaluru
11,data science,FUTURES AND CAREERS,5-10 Yrs,Not disclosed,Bangalore/Bengaluru
12,Data Science Manager- Artificial Intelligence,Spectral Consultants -Search and Recruitments Firm ,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"
13,Data science-subha- Brillio,CHANGE LEADERS CONSULTING,5-8 Yrs,Not disclosed,Bangalore/Bengaluru
14,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
15,ACN - Applied Intelligence - Solutions.AI - Data Science - 11,Accenture,1-6 Yrs,Not disclosed,Bangalore/Bengaluru
16,BUSINESS ANALYST -DATA SCIENCE-CONSUMER,BRIDGEi2i Analytics Solutions Private Limited,0-2 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science - Associate Principal Consultant,Allstate,8-12 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science Job @ Applied Materials - Bangalore,Applied Materials,4-9 Yrs,Not disclosed,Bangalore/Bengaluru(Whitefield)
19,Data Science Application Developer,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
0,Senior Research Analyst / Asst Manager Data Science,TrizTeck Intellectual Property Solutions LLP,2-5 Yrs,"4,75,000 - 7,50,000 PA.",New Delhi(Greater Kailash)
1,Data Science Analyst Fresh Graduates,TELEMAN INSTITUTE OF WIRELESS TECHNOLOGIES PVT LTD D.,0-3 Yrs,"5,00,000 - 5,50,000 PA.","Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru"
2,Data Science Senior,Larsen & Toubro (L&T),4-6 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
3,Data Science Fresher | Geakminds | Chennai,Geakminds Technologies Private Limited,0-2 Yrs,Not disclosed,Chennai
4,Sr. Associate - Content Data Science,upGrad,1-5 Yrs,"7,00,000 - 15,00,000 PA.","Bangalore/Bengaluru, Mumbai (All Areas)"
5,Data Science Application Lead,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru
6,Senior Data Science Engineer,Siemens,0-5 Yrs,Not disclosed,Bangalore/Bengaluru
7,Data Analyst - Data Science (hiring in top MNC),Krazy Mantra HR Solutions Pvt. Ltd  ,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
8,Data Science - Intern,SMECLabs Trivandrum,1-3 Yrs,Not disclosed,Ernakulam
9,Specialist in VBA For Quantitative Analysis and Data Science,Gartner,1-3 Yrs,Not disclosed,Gurgaon/Gurugram
10,Associate/Sr. Associate Manager Safety Data Sciences,Eli Lilly and Company,3-7 Yrs,Not disclosed,Bangalore/Bengaluru
11,Data Science - Contract To Hire,Successr HR Tech PVT LTD,4-8 Yrs,Not disclosed,Bangalore/Bengaluru(WFH during Covid)
12,Data Science Lead,Larsen & Toubro (L&T),7-10 Yrs,Not disclosed,"Mysore/Mysuru, Chennai, Hyderabad"
13,Data Science Software Development Engineer,Accenture,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad
14,Data Science Digital Data Engineering Practitioner,Accenture,15-18 Yrs,Not disclosed,Bangalore/Bengaluru
15,Looking For Data science Engineer For Hyderabad Location,MOURI Tech,5-10 Yrs,"10,00,000 - 20,00,000 PA.","Hyderabad/Secunderabad, Bangalore/Bengaluru(WFH during Covid)"
16,Data Science Analyst - Technical,Accenture,3-5 Yrs,Not disclosed,Bangalore/Bengaluru
17,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,Bangalore/Bengaluru
18,Data Science,CHANGE LEADERS CONSULTING,5-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"
